,country,world_bank_totals,chinese_aid_totals,usaid_aid,hdi_14,pr_score14,cl_score14,fh_status14,cpi_2014,gdp_per_cap14,resource_rents,debt_to_gdp,fh_change,pc_gdp_change,hdi_change,world_bank_pc,chinese_aid_pc,usaid_pc,chinese_aid_total_max,clusters_all,cluster_all_aid,cluster_pc_aid,clusters_selected_features,clusters_selected_features_9
20,Ghana,4853869235.671338,12663979729.399996,4463691468.0,0.5770000000000001,1.0,2.0,F,48.0,1626.622783,14.12864056,70.157,-2.0,1368.1518234999999,0.09400000000000007,178.29066568017691,465.16897478856515,163.95878928340647,1,1,0,0,0,5
21,Guinea,631584494.6187,924788457.32,1347824544.0,0.446,5.0,5.0,PF,25.0,741.0381352,17.11588571,35.09,-1.0,377.5556562,0.111,56.63938636217257,82.93340191805615,120.87053394514221,0,0,0,0,0,6
22,Guinea-Bissau,196021790.93903,309113809.1666666,152051680.0,0.45,5.0,5.0,PF,19.0,555.6050487000001,17.89642717,54.856,1.0,247.46092940000008,-0.057430555555555485,115.8220715423303,182.64398844901746,89.84174909701325,1,4,0,0,0,1
23,Iran,1605362692.3042,0.0,63865441.0,0.7879999999999999,6.0,6.0,NF,27.0,6236.289411,27.2239117,11.825999999999999,0.0,4566.279941,0.117,20.723514974471364,0.0,0.8244345214071566,0,6,0,0,1,4
24,Iraq,1174182327.2132,23499445.54666667,134309996149.0,0.662,6.0,6.0,NF,16.0,5344.331964,45.62957543,32.028,-2.0,4244.331964,0.05400000000000005,34.12135299196492,0.6828861736629426,3903.0043995180627,0,8,2,4,1,1
25,Jordan,1829419409.36766,157822419.20666668,25817999407.0,0.72,6.0,5.0,NF,49.0,3353.623382,1.034977368,89.04899999999998,3.0,1678.7981210000007,0.0179999999999999,205.09073541722248,17.692999131133327,2894.3786527405846,0,4,0,4,0,6
26,Kenya,5346268995.897382,39532637829.98332,15133681529.0,0.556,4.0,4.0,PF,25.0,1060.095016,2.773411054,48.56399999999999,-3.0,662.6123571999998,0.11000000000000004,114.4811813927158,846.5236384139713,324.0618348217315,1,0,1,0,0,7
27,Lebanon,1388968485.0813894,62908707.56666667,4989869352.0,0.732,5.0,4.0,PF,27.0,6649.213772,0.002215635,139.158,-2.0,2157.576513,0.2245694444444445,221.7945623300597,10.04544697116073,796.79697624397,0,0,0,2,0,0
28,Lesotho,330541082.28052,245352138.6133333,1388199091.0,0.493,2.0,3.0,F,49.0,1389.875532,4.942003027,36.801,-3.0,953.3871800000001,0.04899999999999999,161.7574127709932,120.06836453158738,679.3451870549471,0,0,0,0,0,0
29,Liberia,980563564.5671301,693038739.6433334,4512835291.0,0.464,3.0,4.0,PF,37.0,586.2293607999999,32.32033198,21.631999999999998,-4.0,279.39646609999994,0.041999999999999926,224.92543638948231,158.9718877816021,1035.1714910293717,0,0,0,2,0,0
