Country,0,0,1
Central African Republic,5,2008,PR
Central African Republic,5,2008,CL
Central African Republic,PF,2008,Status
Central African Republic,5,2009,PR
Central African Republic,5,2009,CL
Central African Republic,PF,2009,Status
Central African Republic,5,2010,PR
Central African Republic,5,2010,CL
Central African Republic,PF,2010,Status
Central African Republic,5,2011,PR
Central African Republic,5,2011,CL
Central African Republic,PF,2011,Status
Central African Republic,5,2012,PR
Central African Republic,5,2012,CL
Central African Republic,PF,2012,Status
Central African Republic,7,2013,PR
Central African Republic,7,2013,CL
Central African Republic,NF,2013,Status
Central African Republic,7,2014,PR
Central African Republic,7,2014,CL
Central African Republic,NF,2014,Status
Chad,6,2000,PR
Chad,5,2000,CL
Chad,NF,2000,Status
Chad,6,2001,PR
Chad,5,2001,CL
Chad,NF,2001,Status
Chad,6,2002,PR
Chad,5,2002,CL
Chad,NF,2002,Status
Chad,6,2003,PR
Chad,5,2003,CL
Chad,NF,2003,Status
Chad,6,2004,PR
Chad,5,2004,CL
Chad,NF,2004,Status
Chad,6,2005,PR
Chad,5,2005,CL
Chad,NF,2005,Status
Chad,6,2006,PR
Chad,6,2006,CL
Chad,NF,2006,Status
Chad,7,2007,PR
Chad,6,2007,CL
Chad,NF,2007,Status
Chad,7,2008,PR
Chad,6,2008,CL
Chad,NF,2008,Status
Chad,7,2009,PR
Chad,6,2009,CL
Chad,NF,2009,Status
Chad,7,2010,PR
Chad,6,2010,CL
Chad,NF,2010,Status
Chad,7,2011,PR
Chad,6,2011,CL
Chad,NF,2011,Status
Chad,7,2012,PR
Chad,6,2012,CL
Chad,NF,2012,Status
Chad,7,2013,PR
Chad,6,2013,CL
Chad,NF,2013,Status
Chad,7,2014,PR
Chad,6,2014,CL
Chad,NF,2014,Status
Comoros,6,2000,PR
Comoros,4,2000,CL
Comoros,PF,2000,Status
Comoros,6,2001,PR
Comoros,4,2001,CL
Comoros,PF,2001,Status
Comoros,5,2002,PR
Comoros,4,2002,CL
Comoros,PF,2002,Status
Comoros,5,2003,PR
Comoros,4,2003,CL
Comoros,PF,2003,Status
Comoros,4,2004,PR
Comoros,4,2004,CL
Comoros,PF,2004,Status
Comoros,4,2005,PR
Comoros,4,2005,CL
Comoros,PF,2005,Status
Comoros,3,2006,PR
Comoros,4,2006,CL
Comoros,PF,2006,Status
Comoros,4,2007,PR
Comoros,4,2007,CL
Comoros,PF,2007,Status
Comoros,3,2008,PR
Comoros,4,2008,CL
Comoros,PF,2008,Status
Comoros,3,2009,PR
Comoros,4,2009,CL
Comoros,PF,2009,Status
Comoros,3,2010,PR
Comoros,4,2010,CL
Comoros,PF,2010,Status
Comoros,3,2011,PR
Comoros,4,2011,CL
Comoros,PF,2011,Status
Comoros,3,2012,PR
Comoros,4,2012,CL
Comoros,PF,2012,Status
Comoros,3,2013,PR
Comoros,4,2013,CL
Comoros,PF,2013,Status
