"project_id","is_geocoded","project_title","start_actual_isodate","start_actual_type","end_actual_isodate","end_actual_type","donors","donors_iso3","recipients","recipients_iso3","ad_sector_codes","ad_sector_names","ad_purpose_codes","ad_purpose_names","status","transactions_start_year","transactions_end_year","total_commitments","total_disbursements"
"35960","1","China Loans $67.8 Million USD to Bolivia for Regional Development","","start-actual","","end-actual","China","CHN","Bolivia","BOL","430","Other","","","Implementation","2010","2010","84296096.57",""
"35971","1","China Donates Water Drillers and Cargo Trucks to Bolivia to Combat Drought","","start-actual","","end-actual","China","CHN","Bolivia","BOL","720","Emergency Response","","","Completion"," "," ","",""
"35977","1","China grants $80 million line of credit to expand Avenue in Quito","","start-actual","","end-actual","China","CHN","Ecuador","ECU","210","Transport and Storage","","","Implementation","2013","2013","81369537.36",""
"35982","1","China Builds and Funds Minas San Francisco y la Union Hydroelectric Dam in Ecuador","","start-actual","","end-actual","China","CHN","Ecuador","ECU","230","Energy Generation and Supply","","","Implementation","2011","2011","347551044.1",""
"35985","0","Joint China-Venezuela Fund Tranche A or Heavy Fund I (Fondo Estrategico Pesado de Financiamiento) [Linked to #37528, #38316, #37838, #38380]","2008-01-01","start-actual","2010-11-30","end-actual","China","CHN","Venezuela","VEN","998","Unallocated / Unspecified","","","Completion","2007","2010","6512469791.0",""
"36000","1","CDB loans 75 million USD to Colombian Cementos Argosfrom to finance new cement plant in Cartagena","","start-actual","2009-12-15","end-actual","China","CHN","Colombia","COL","320","Industry, Mining, Construction","","","Completion","2008","2009","103455696.4",""
"36001","1","China donates a mobile hospital to Ecuador","","start-actual","","end-actual","China","CHN","Ecuador","ECU","120","Health","","","Completion"," "," ","",""
"36002","1","Ecuador receives $1.4 billion from China for budget","2013-08-12","start-actual","","end-actual","China","CHN","Ecuador","ECU","510","General Budget Support","","","Implementation","2013","2013","1423966904.0",""
"36003","1","China Development Bank Will Contribute $10 Million USD to Bolivia ","","start-actual","","end-actual","China","CHN","Bolivia","BOL","220","Communications","","","Pipeline/identification","2011","2011","11103867.22",""
"36005","1","Export Import Bank of China Signs $60 Million Loan Agreement with Bolivia","","start-actual","","end-actual","China","CHN","Bolivia","BOL","230","Energy Generation and Supply","","","Implementation","2011","2011","66623203.34",""
"36006","1","China Signs $300 Million USD Credit Agreement with Bolivia for Industrial Purchases [linked to #36007]","","start-actual","","end-actual","China","CHN","Bolivia","BOL","210","Transport and Storage","","","Implementation","2011","2011","213194250.7",""
