all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling,aid_in_millions
Mauritius,Communications,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,EbÍÎne,-20.24494,57.49163,Ebene City,2004,China provides second interest-free loan for MBC Headquarters,Mauritius,ChinatoAfrica,4979688,FALSE,4.979688
Mauritius,Communications,Loan (excluding debt rescheduling),ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,EbÍÎne,-20.22473,57.49658,Mauritius Broadcasting Corporation,2004,China provides second interest-free loan for MBC Headquarters,Mauritius,ChinatoAfrica,4979688,FALSE,4.979688
Zimbabwe,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Zimbabwe,2008,China pledges cholera vaccines to Zimbabwe,Zimbabwe,ChinatoAfrica,689457,FALSE,0.689457
Mauritius,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,unknown,-20.47611,57.55194,Tyack,2006,China designates 580 million RMB of Exim loan for Bagatelle Dam Project,Mauritius,ChinatoAfrica,133801546,FALSE,133.801546
Mauritius,Energy Generation and Supply,Loan (excluding debt rescheduling),ODA-like,"Export-Import Bank of China, Government Agency",Development,unknown,-20.13722,57.5025,Rivière Terre Rouge,2006,China designates 580 million RMB of Exim loan for Bagatelle Dam Project,Mauritius,ChinatoAfrica,133801546,FALSE,133.801546
Zimbabwe,Government and Civil Society,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,-17.82772,31.05337,Harare,2009,Zimbabwe parliament gets equipment from China's NPC,Zimbabwe,ChinatoAfrica,203565,FALSE,0.203565
Zimbabwe,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gwebi Agricultural College, Zimbabwe",-17.82772,31.05337,Harare,2006,Construction of agricultural technology demonstration centre,Zimbabwe,ChinatoAfrica,9227693,FALSE,9.227693
Zimbabwe,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Gwebi Agricultural College, Zimbabwe",-17.68333,30.86667,Gwebi Agricultural College,2006,Construction of agricultural technology demonstration centre,Zimbabwe,ChinatoAfrica,9227693,FALSE,9.227693
Cote D'Ivoire,Action Relating to Debt,Debt forgiveness,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Ivory Coast,2007,China writes of 18 million EUR of debt,Cote D'Ivoire,ChinatoAfrica,40095908,FALSE,40.095908
Zimbabwe,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Mashambanzou Care Trust, Harare, Zimbabwe",-17.82772,31.05337,Harare,2009,Chinese Ambassador donates to Zimbabwe HIV/AIDS home,Zimbabwe,ChinatoAfrica,13571,FALSE,0.013571
Zimbabwe,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Mashambanzou Care Trust, Harare, Zimbabwe",-17.90758,31.00061,Mashambanzou Care Trust,2009,Chinese Ambassador donates to Zimbabwe HIV/AIDS home,Zimbabwe,ChinatoAfrica,13571,FALSE,0.013571
Zimbabwe,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Willowvale, Harare, Zimbabwe",-17.88056,30.97444,Willowvale,2009,"China provides $500,000 grant to Zimbabwe for food aid",Zimbabwe,ChinatoAfrica,678549,FALSE,0.678549
Zimbabwe,"Agriculture, Forestry and Fishing",Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,"Willowvale, Harare, Zimbabwe",0,0,Zimbabwe,2009,"China provides $500,000 grant to Zimbabwe for food aid",Zimbabwe,ChinatoAfrica,678549,FALSE,0.678549
Mauritius,Government and Civil Society,Scholarships/training in the donor country,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0,0,Mauritius,2010,China Sponsors Public Administration Seminar for Mauritian Ministry of Civil Service,Mauritius,ChinatoAfrica,3187,FALSE,0.003187
