all_recipients,crs_sector_name,flow,flow_class,funding_agency,intent,location_details,latitude,longitude,place_name,year,project_title,recipient_condensed,round_coded,aid_amount,predicted_by_modeling
Guinea-Bissau,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Guinea-Bissau,2008,"China provides Guinea-Bissau $100,000 to fight Cholera",Guinea-Bissau,AdditionalCoded,137891.0,False
Angola,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Angola,2007,1st Donation of Anti-Malaria Medicine,Angola,AdditionalCoded,427874.0,False
Equatorial Guinea,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Equatorial Guinea,2010,Donation of Anti-Malaria Medicine to Equatorial Guinea,Equatorial Guinea,AdditionalCoded,185768.0,False
Somalia,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Somalia,2009,"China Donates $500,000 USD for Malaria Aid to Somalia (linked to #35217)",Somalia,AdditionalCoded,678549.0,False
Somalia,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Somalia,2009,China Donates Anti-Malarial Medicine Worth 1 Million RMB to Somalia (linked to #35216),Somalia,AdditionalCoded,198656.0,False
Mali,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Mali,2007,China Donates Medical Equipment to Mali,Mali,AdditionalCoded,21394.0,False
Mali,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,13.7021,-6.0659,Markala,2008,"China donates drugs and medical equipment worth 380,000 to Mali",Mali,AdditionalCoded,523987.0,False
Mali,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,11.31623,-5.66817,Sikasso hospital,2008,"China donates drugs and medical equipment worth 380,000 to Mali",Mali,AdditionalCoded,523987.0,False
Mali,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,12.74409,-8.072569999999999,Kati,2008,"China donates drugs and medical equipment worth 380,000 to Mali",Mali,AdditionalCoded,523987.0,False
Namibia,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Namibia,2007,China donates 3 ambulances worth 1.05 million RMB to Namibia,Namibia,AdditionalCoded,224634.0,False
Ghana,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,5.5374300000000005,-0.2274,Korle Bu Teaching Hospital,2012,"Chinese 2nd medical assistance team donates $300,000 worth of equipment to Ghana hospital",Ghana,AdditionalCoded,317711.0,False
Sierra Leone,Health,Grant,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,0.0,0.0,Sierra Leone,2014,[EBOLA] China Donates RMB 10M of Anti-Ebola Medical Materials,Sierra Leone,AdditionalCoded,1627754.0,False
Liberia,Developmental Food Aid/Food Security Assistance,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,7.13333,-11.05,Grand Cape Mount County,2011,South-South Cooperation in Liberia,Liberia,AdditionalCoded,1109987.0,False
Liberia,Developmental Food Aid/Food Security Assistance,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,6.69516,-10.875,Klay,2011,South-South Cooperation in Liberia,Liberia,AdditionalCoded,1109987.0,False
Liberia,Developmental Food Aid/Food Security Assistance,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,6.44716,-10.61283,Bensonville,2011,South-South Cooperation in Liberia,Liberia,AdditionalCoded,1109987.0,False
Liberia,Developmental Food Aid/Food Security Assistance,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,6.83978,-9.99623,Salala,2011,South-South Cooperation in Liberia,Liberia,AdditionalCoded,1109987.0,False
Liberia,Developmental Food Aid/Food Security Assistance,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,7.00546,-9.56835,Central Agricultural Research Institute,2011,South-South Cooperation in Liberia,Liberia,AdditionalCoded,1109987.0,False
Eritrea,Health,Free-standing technical assistance,ODA-like,"Unspecified Chinese Government Institution, Government Agency",Development,unknown,15.33805,38.93184,Asmara,2007,5th medical team to Eritrea,Eritrea,AdditionalCoded,12836.0,False
